Vardas Pavardė ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Egz.
Vardas33 Pavardė33 4 6 1 2 10 2 4 4 1 8 2
Vardas34 Pavardė34 2 1 9 8 7 4 7 10 9 9 3
Vardas35 Pavardė35 5 10 1 6 1 10 8 1 1 9 6
Vardas36 Pavardė36 9 4 3 2 3 4 9 3 6 4 5
Vardas37 Pavardė37 2 3 3 7 3 4 2 3 1 2 8
Vardas38 Pavardė38 1 10 9 8 4 8 2 5 1 5 9
Vardas39 Pavardė39 2 10 7 6 1 9 6 6 1 4 10
Vardas40 Pavardė40 1 4 8 10 10 6 3 9 5 3 5
Vardas41 Pavardė41 1 1 2 8 4 7 5 8 8 2 4
Vardas42 Pavardė42 9 2 5 7 3 8 7 5 2 5 5
Vardas43 Pavardė43 8 3 5 6 6 4 2 8 4 5 6
Vardas44 Pavardė44 3 2 3 5 10 4 1 3 3 2 3
Vardas45 Pavardė45 7 3 4 10 6 3 6 10 6 5 4
Vardas46 Pavardė46 7 7 6 4 4 6 10 8 5 7 7
Vardas47 Pavardė47 5 3 8 7 5 10 3 10 4 1 2
Vardas48 Pavardė48 6 2 5 1 6 8 8 6 9 10 3
Vardas49 Pavardė49 7 3 8 10 4 9 5 2 7 8 1
Vardas50 Pavardė50 2 5 4 10 7 9 5 3 4 7 3
Vardas51 Pavardė51 6 5 4 8 6 3 10 7 2 2 3
Vardas52 Pavardė52 1 4 1 9 6 7 10 1 9 6 9
Vardas53 Pavardė53 3 1 5 5 1 8 9 9 2 1 4
Vardas54 Pavardė54 7 5 1 8 5 9 3 4 7 1 6
Vardas55 Pavardė55 4 7 7 4 5 1 3 1 2 3 5
Vardas56 Pavardė56 9 2 6 10 1 6 6 5 5 2 4
Vardas57 Pavardė57 2 9 10 9 9 10 10 9 6 1 6
Vardas58 Pavardė58 8 7 6 4 10 10 9 6 6 5 8
Vardas59 Pavardė59 6 9 7 9 3 8 4 2 4 10 8
Vardas60 Pavardė60 8 9 5 10 10 3 5 9 2 3 2
Vardas61 Pavardė61 4 9 8 6 8 1 2 2 6 5 10
Vardas62 Pavardė62 3 4 5 5 2 9 10 9 6 8 8
Vardas63 Pavardė63 5 4 5 3 8 6 9 4 8 9 10
Vardas64 Pavardė64 9 9 9 4 4 4 2 10 1 3 7
Vardas65 Pavardė65 6 1 2 1 6 2 5 5 8 4 1
Vardas66 Pavardė66 5 5 7 1 8 2 7 9 10 6 7
Vardas67 Pavardė67 10 10 7 10 9 2 8 4 4 6 9
Vardas68 Pavardė68 4 10 10 8 5 2 8 1 10 8 6
Vardas69 Pavardė69 2 2 6 6 6 6 10 6 9 9 9
Vardas70 Pavardė70 7 5 10 1 5 3 2 2 7 2 6
Vardas71 Pavardė71 1 10 10 9 7 4 8 6 5 3 3
Vardas72 Pavardė72 8 8 1 3 1 6 1 7 2 4 5
Vardas73 Pavardė73 1 4 7 6 7 8 4 5 6 7 1
Vardas74 Pavardė74 6 1 5 5 2 7 6 10 5 5 1
Vardas75 Pavardė75 5 2 1 6 9 6 2 4 7 8 4
Vardas76 Pavardė76 1 5 2 6 7 3 6 3 1 7 5
Vardas77 Pavardė77 9 1 10 9 5 6 9 4 8 2 3
Vardas78 Pavardė78 8 4 1 9 3 7 6 5 5 9 6
Vardas79 Pavardė79 7 10 5 7 6 3 8 2 10 10 6
Vardas80 Pavardė80 5 6 3 7 4 6 1 6 1 7 8
Vardas81 Pavardė81 4 10 6 8 9 9 4 9 8 3 4
Vardas82 Pavardė82 7 2 1 3 7 2 2 2 7 1 7
Vardas83 Pavardė83 8 9 7 6 7 1 10 9 5 5 5
Vardas84 Pavardė84 2 5 1 9 5 8 1 9 5 2 8
Vardas85 Pavardė85 3 5 8 9 5 3 9 7 1 10 6
Vardas86 Pavardė86 3 10 5 6 5 3 4 5 9 9 4
Vardas87 Pavardė87 7 9 10 1 1 10 7 2 10 9 8
Vardas88 Pavardė88 7 6 2 9 10 3 5 7 2 4 9
Vardas89 Pavardė89 9 1 9 8 10 1 2 3 9 8 6
Vardas90 Pavardė90 2 6 1 5 4 7 5 4 3 6 5
Vardas91 Pavardė91 1 3 6 1 5 6 5 2 6 8 6
Vardas92 Pavardė92 5 9 5 6 4 5 6 10 7 4 1
Vardas93 Pavardė93 5 4 1 2 3 10 2 3 4 9 5
Vardas94 Pavardė94 3 2 1 4 7 1 6 1 5 6 5
Vardas95 Pavardė95 5 3 1 8 2 1 9 5 5 10 8
Vardas96 Pavardė96 8 10 10 2 10 3 10 6 5 9 8
Vardas97 Pavardė97 9 3 2 3 7 9 6 2 9 4 1
Vardas98 Pavardė98 5 1 7 3 1 6 4 2 6 2 6
Vardas99 Pavardė99 5 4 3 4 9 7 2 1 1 7 7
Vardas100 Pavardė100 6 1 3 2 1 9 3 6 4 7 5
Vardas101 Pavardė101 3 8 4 1 3 6 10 6 9 9 8
Vardas102 Pavardė102 7 2 1 4 3 6 10 10 2 2 5
Vardas103 Pavardė103 3 4 3 6 8 5 2 4 4 4 2
Vardas104 Pavardė104 1 7 4 1 3 3 1 2 4 3 8
Vardas105 Pavardė105 2 10 1 5 3 10 8 1 10 2 9
Vardas106 Pavardė106 6 9 3 9 2 3 10 4 3 8 7
Vardas107 Pavardė107 7 7 7 4 7 8 2 10 3 4 2
Vardas108 Pavardė108 3 8 5 9 6 9 7 3 4 1 10
Vardas109 Pavardė109 3 3 9 3 10 9 1 1 2 4 9
Vardas110 Pavardė110 3 2 3 6 6 3 1 2 10 4 3
Vardas111 Pavardė111 5 8 4 7 6 5 3 6 5 2 5
Vardas112 Pavardė112 10 1 5 7 3 6 1 9 8 9 4
Vardas113 Pavardė113 2 7 5 8 6 2 2 8 3 6 3
Vardas114 Pavardė114 10 7 3 9 5 8 2 8 4 5 3
Vardas115 Pavardė115 4 3 7 1 5 8 5 5 9 1 3
Vardas116 Pavardė116 9 10 8 7 4 8 6 3 7 6 6
Vardas117 Pavardė117 9 8 8 7 5 7 7 3 1 6 1
Vardas118 Pavardė118 10 9 5 8 1 5 9 8 7 7 7
Vardas119 Pavardė119 5 9 5 1 4 3 9 4 7 4 2
Vardas120 Pavardė120 7 4 4 9 9 6 6 7 5 9 3
Vardas121 Pavardė121 7 7 2 6 6 9 10 9 6 5 9
Vardas122 Pavardė122 5 3 4 5 1 6 8 6 3 4 5
Vardas123 Pavardė123 8 4 1 6 9 7 6 4 3 3 2
Vardas124 Pavardė124 7 7 8 8 4 3 8 8 9 10 2
Vardas125 Pavardė125 1 7 7 3 8 10 9 10 8 2 1
Vardas126 Pavardė126 6 9 8 7 3 1 5 6 1 1 7
Vardas127 Pavardė127 10 2 10 8 2 1 9 5 9 7 10
Vardas128 Pavardė128 8 4 8 8 2 1 3 4 7 4 6
Vardas129 Pavardė129 5 7 10 4 4 4 7 1 4 1 5
Vardas130 Pavardė130 1 1 10 5 3 3 7 8 5 7 8
Vardas131 Pavardė131 3 10 8 7 2 3 6 10 2 2 2
Vardas132 Pavardė132 8 8 9 7 7 6 8 6 1 8 10
Vardas133 Pavardė133 7 6 6 6 2 9 3 4 8 1 10
Vardas134 Pavardė134 3 3 3 7 10 8 3 6 7 3 3
Vardas135 Pavardė135 9 4 4 4 7 6 10 8 2 8 6
Vardas136 Pavardė136 10 8 9 5 10 3 2 1 2 8 4
Vardas137 Pavardė137 10 7 6 3 3 2 5 10 10 1 6
Vardas138 Pavardė138 4 4 10 9 1 2 6 5 6 5 4
Vardas139 Pavardė139 2 7 3 2 4 8 6 3 9 3 4
Vardas140 Pavardė140 5 5 2 2 9 8 3 4 9 8 8
Vardas141 Pavardė141 7 9 4 10 6 9 9 7 1 2 4
Vardas142 Pavardė142 7 9 7 7 2 3 9 5 1 5 10
Vardas143 Pavardė143 5 10 7 8 3 6 8 5 7 6 1
Vardas144 Pavardė144 2 6 10 7 3 5 6 7 8 4 8
Vardas145 Pavardė145 5 3 8 5 4 6 5 1 9 5 2
Vardas146 Pavardė146 6 2 2 8 2 8 3 5 5 3 8
Vardas147 Pavardė147 6 5 8 6 7 3 1 1 8 1 1
Vardas148 Pavardė148 6 9 6 7 8 9 1 4 3 10 6
Vardas149 Pavardė149 5 3 3 5 7 5 4 1 4 5 6
Vardas150 Pavardė150 2 2 10 3 5 6 7 2 7 2 4
Vardas151 Pavardė151 5 8 2 9 1 1 2 9 2 8 5
Vardas152 Pavardė152 2 3 10 6 5 1 3 4 7 9 1
Vardas153 Pavardė153 8 9 8 9 5 1 5 7 7 7 2
Vardas154 Pavardė154 6 1 5 2 9 3 7 4 3 6 6
Vardas155 Pavardė155 5 10 9 8 6 7 4 1 1 8 2
Vardas156 Pavardė156 5 1 8 6 10 4 8 7 10 4 9
Vardas157 Pavardė157 8 3 10 9 8 10 10 7 2 5 2
Vardas158 Pavardė158 2 9 2 7 4 1 4 2 2 10 3
Vardas159 Pavardė159 8 9 8 8 5 10 8 1 6 2 3
Vardas160 Pavardė160 3 1 2 4 6 5 5 4 1 9 3
Vardas161 Pavardė161 1 6 9 1 7 2 9 3 7 7 1
Vardas162 Pavardė162 1 3 3 4 4 6 7 5 5 4 2
Vardas163 Pavardė163 8 2 2 3 8 6 1 6 1 8 5
Vardas164 Pavardė164 2 1 7 4 10 6 5 4 7 5 1
Vardas165 Pavardė165 7 10 4 3 5 7 4 5 8 6 9
Vardas166 Pavardė166 2 6 8 1 1 1 6 5 2 3 1
Vardas167 Pavardė167 5 7 3 6 5 2 5 5 10 7 7
Vardas168 Pavardė168 4 3 6 3 5 3 4 10 4 3 2
Vardas169 Pavardė169 8 6 4 3 8 8 6 3 8 7 5
Vardas170 Pavardė170 8 3 6 3 5 5 1 2 4 7 9
Vardas171 Pavardė171 5 10 2 3 6 8 7 4 10 2 5
Vardas172 Pavardė172 2 1 9 3 7 3 10 9 5 2 7
Vardas173 Pavardė173 9 10 4 8 9 9 7 6 7 4 9
Vardas174 Pavardė174 6 4 2 1 4 3 2 2 7 2 1
Vardas175 Pavardė175 10 6 8 7 8 8 5 1 10 4 4
Vardas176 Pavardė176 2 4 10 7 9 6 5 7 1 1 7
Vardas177 Pavardė177 7 1 4 9 2 9 8 10 4 7 8
Vardas178 Pavardė178 5 9 3 3 8 2 4 1 4 8 2
Vardas179 Pavardė179 10 5 4 8 6 8 4 6 9 5 9
Vardas180 Pavardė180 10 4 7 3 7 10 1 9 6 2 10
Vardas181 Pavardė181 4 5 1 9 1 4 3 10 1 7 8
Vardas182 Pavardė182 4 8 2 6 4 1 5 8 7 5 10
Vardas183 Pavardė183 9 2 5 5 8 6 10 5 10 6 4
Vardas184 Pavardė184 9 2 2 7 2 9 9 10 5 3 6
Vardas185 Pavardė185 8 10 3 3 3 2 7 6 8 1 7
Vardas186 Pavardė186 5 10 9 5 6 4 4 2 1 3 7
Vardas187 Pavardė187 4 6 4 4 4 6 10 7 1 8 5
Vardas188 Pavardė188 8 10 5 8 1 4 7 7 9 4 4
Vardas189 Pavardė189 9 2 2 5 3 1 3 3 8 4 4
Vardas190 Pavardė190 9 3 10 1 6 1 8 2 3 9 3
Vardas191 Pavardė191 10 3 6 8 9 9 10 8 1 4 5
Vardas192 Pavardė192 10 2 10 10 2 7 7 10 8 2 6
Vardas193 Pavardė193 4 8 7 2 8 8 1 1 3 5 10
Vardas194 Pavardė194 9 2 9 10 7 3 6 8 10 4 9
Vardas195 Pavardė195 6 8 7 5 10 10 10 10 7 3 6
Vardas196 Pavardė196 8 5 8 4 7 8 3 2 9 7 4
Vardas197 Pavardė197 1 5 5 8 3 1 1 7 7 3 9
Vardas198 Pavardė198 8 4 2 1 6 10 2 7 8 3 8
Vardas199 Pavardė199 10 9 9 9 8 7 8 9 9 3 3
Vardas200 Pavardė200 2 3 5 7 3 3 8 5 4 4 7
Vardas201 Pavardė201 2 3 9 3 5 9 10 2 6 6 1
Vardas202 Pavardė202 3 4 8 1 8 7 4 2 3 7 8
Vardas203 Pavardė203 5 3 10 4 3 6 4 5 4 6 1
Vardas204 Pavardė204 3 9 10 10 3 9 10 10 9 1 6
Vardas205 Pavardė205 2 9 7 6 9 2 5 5 2 9 1
Vardas206 Pavardė206 4 2 9 9 10 3 9 2 4 7 6
Vardas207 Pavardė207 5 5 10 2 4 1 1 9 4 5 1
Vardas208 Pavardė208 6 3 4 1 8 6 4 2 5 1 9
Vardas209 Pavardė209 4 8 7 6 1 10 2 5 4 8 1
Vardas210 Pavardė210 9 2 6 3 8 6 10 4 1 9 3
Vardas211 Pavardė211 9 7 9 8 1 1 2 10 4 9 7
Vardas212 Pavardė212 3 2 7 10 7 10 6 5 7 9 1
Vardas213 Pavardė213 8 1 7 3 10 2 2 10 1 3 3
Vardas214 Pavardė214 10 5 2 1 2 9 4 4 5 1 6
Vardas215 Pavardė215 10 8 8 6 10 4 1 3 7 10 4
Vardas216 Pavardė216 4 9 2 6 1 5 4 8 6 8 6
Vardas217 Pavardė217 4 8 6 2 3 4 9 4 4 5 9
Vardas218 Pavardė218 2 6 1 5 10 9 8 1 3 10 1
Vardas219 Pavardė219 2 7 10 9 6 4 5 10 1 7 3
Vardas220 Pavardė220 10 1 3 1 6 2 3 5 10 2 10
Vardas221 Pavardė221 3 10 4 7 3 2 1 7 1 1 1
Vardas222 Pavardė222 3 2 8 9 10 7 1 5 2 2 1
Vardas223 Pavardė223 2 3 8 5 5 3 5 3 3 1 8
Vardas224 Pavardė224 7 9 10 9 1 7 7 8 8 5 7
Vardas225 Pavardė225 9 8 8 5 10 6 10 2 1 4 3
Vardas226 Pavardė226 1 4 3 2 8 10 3 2 8 4 7
Vardas227 Pavardė227 10 8 8 1 5 1 6 3 3 4 2
Vardas228 Pavardė228 10 1 9 8 1 6 6 9 9 7 4
Vardas229 Pavardė229 7 1 2 1 6 8 4 10 3 6 1
Vardas230 Pavardė230 10 9 1 6 6 9 10 8 9 3 6
Vardas231 Pavardė231 10 10 6 8 7 1 1 3 4 6 8
Vardas232 Pavardė232 1 8 9 1 4 1 4 9 1 7 1
Vardas233 Pavardė233 10 7 3 3 7 4 3 6 3 5 5
Vardas234 Pavardė234 9 9 8 1 8 10 6 5 1 2 6
Vardas235 Pavardė235 6 3 3 10 5 8 7 5 10 3 4
Vardas236 Pavardė236 9 1 5 1 3 2 7 5 8 8 5
Vardas237 Pavardė237 7 9 6 10 7 6 2 6 2 10 8
Vardas238 Pavardė238 6 3 6 3 5 6 4 10 5 4 3
Vardas239 Pavardė239 4 3 6 4 7 5 5 3 9 8 5
Vardas240 Pavardė240 3 8 2 2 1 5 1 6 4 8 1
Vardas241 Pavardė241 10 8 6 6 8 4 2 8 2 9 3
Vardas242 Pavardė242 8 1 1 4 10 8 6 10 10 8 8
Vardas243 Pavardė243 1 9 1 1 7 3 6 4 8 5 8
Vardas244 Pavardė244 4 10 10 8 5 7 1 5 1 6 5
Vardas245 Pavardė245 2 5 4 3 1 10 4 4 2 8 3
Vardas246 Pavardė246 7 9 4 10 6 8 3 5 1 9 3
Vardas247 Pavardė247 9 4 3 7 9 1 10 1 5 10 7
Vardas248 Pavardė248 6 4 1 4 2 2 8 2 8 2 5
Vardas249 Pavardė249 1 9 6 8 6 7 2 6 1 7 1
Vardas250 Pavardė250 7 3 5 4 8 9 4 9 10 8 3
Vardas251 Pavardė251 9 5 2 8 9 5 9 9 4 6 4
Vardas252 Pavardė252 2 7 1 2 8 5 8 3 1 7 4
Vardas253 Pavardė253 1 10 2 4 5 10 8 9 7 1 4
Vardas254 Pavardė254 8 8 7 5 2 9 1 1 1 6 6
Vardas255 Pavardė255 6 7 8 10 10 2 7 7 5 3 3
Vardas256 Pavardė256 8 9 6 6 1 4 8 10 9 2 9
Vardas257 Pavardė257 4 9 4 6 7 3 10 9 3 2 10
Vardas258 Pavardė258 3 8 1 8 7 1 4 9 7 6 6
Vardas259 Pavardė259 5 8 5 9 7 9 9 6 2 3 10
Vardas260 Pavardė260 8 3 4 8 5 4 7 3 2 7 6
Vardas261 Pavardė261 10 10 1 4 10 9 8 9 3 2 4
Vardas262 Pavardė262 5 9 10 8 4 4 2 9 4 3 8
Vardas263 Pavardė263 2 2 4 7 7 8 2 6 7 2 8
Vardas264 Pavardė264 2 3 10 7 10 6 4 8 6 2 6
Vardas265 Pavardė265 8 8 10 5 9 4 8 7 6 3 5
Vardas266 Pavardė266 5 7 5 7 4 2 6 10 4 2 5
Vardas267 Pavardė267 9 4 6 1 2 1 6 10 1 6 7
Vardas268 Pavardė268 3 3 9 3 2 7 1 6 9 9 5
Vardas269 Pavardė269 4 1 7 2 1 6 1 4 2 4 7
Vardas270 Pavardė270 1 1 3 1 3 10 6 1 2 8 3
Vardas271 Pavardė271 1 8 7 4 4 9 10 5 9 7 4
Vardas272 Pavardė272 5 3 8 3 9 5 10 3 1 5 3
Vardas273 Pavardė273 5 10 6 1 2 1 2 7 8 10 6
Vardas274 Pavardė274 10 4 6 2 2 6 3 7 5 7 9
Vardas275 Pavardė275 3 8 8 3 10 7 4 4 8 9 8
Vardas276 Pavardė276 5 7 10 4 9 8 7 8 5 1 8
Vardas277 Pavardė277 10 2 5 9 10 10 4 4 10 10 3
Vardas278 Pavardė278 1 1 8 8 2 3 7 7 6 6 10
Vardas279 Pavardė279 7 3 10 9 10 1 3 2 10 4 3
Vardas280 Pavardė280 6 7 1 1 5 9 9 6 2 6 10
Vardas281 Pavardė281 9 7 9 1 3 4 8 3 7 4 1
Vardas282 Pavardė282 4 5 10 7 3 1 7 5 1 4 4
Vardas283 Pavardė283 5 2 4 8 3 7 8 3 5 9 9
Vardas284 Pavardė284 10 4 7 1 3 9 1 10 3 3 10
Vardas285 Pavardė285 7 4 4 2 2 8 1 8 2 8 1
Vardas286 Pavardė286 3 3 7 10 9 8 3 4 6 3 5
Vardas287 Pavardė287 5 2 3 7 10 1 2 1 5 4 10
Vardas288 Pavardė288 1 3 4 10 1 1 9 10 8 2 4
Vardas289 Pavardė289 3 8 7 9 2 2 1 10 3 8 4
Vardas290 Pavardė290 8 4 6 1 2 5 4 4 5 7 5
Vardas291 Pavardė291 6 10 5 8 9 8 10 5 8 7 3
Vardas292 Pavardė292 3 2 6 8 2 4 1 10 2 10 8
Vardas293 Pavardė293 4 9 9 5 1 5 6 4 4 4 8
Vardas294 Pavardė294 3 3 1 3 8 4 1 7 9 1 3
Vardas295 Pavardė295 3 3 6 9 2 6 1 7 10 1 2
Vardas296 Pavardė296 3 5 9 2 8 1 2 4 7 1 5
Vardas297 Pavardė297 1 3 4 3 10 4 2 9 1 6 7
Vardas298 Pavardė298 7 2 6 2 1 3 1 4 6 7 4
Vardas299 Pavardė299 7 2 1 6 6 2 8 5 9 9 8
Vardas300 Pavardė300 8 10 10 2 8 9 6 10 1 10 9
Vardas301 Pavardė301 1 10 7 4 6 9 6 2 5 2 9
Vardas302 Pavardė302 7 6 6 10 6 4 8 7 5 3 2
Vardas303 Pavardė303 7 6 8 3 2 1 6 2 4 2 4
Vardas304 Pavardė304 3 10 7 2 5 10 7 5 2 8 5
Vardas305 Pavardė305 7 10 5 1 7 9 7 10 4 5 1
Vardas306 Pavardė306 4 6 7 8 6 3 4 4 9 6 2
Vardas307 Pavardė307 6 4 1 3 10 5 10 1 8 5 1
Vardas308 Pavardė308 2 9 8 2 8 6 4 7 7 5 5
Vardas309 Pavardė309 8 4 10 7 3 9 10 1 5 9 2
Vardas310 Pavardė310 8 7 7 4 3 10 9 7 6 9 4
Vardas311 Pavardė311 10 2 2 7 10 2 3 6 8 6 10
Vardas312 Pavardė312 5 3 8 3 5 4 7 7 6 1 10
Vardas313 Pavardė313 8 3 6 7 8 1 10 7 3 4 2
Vardas314 Pavardė314 2 1 4 3 5 5 6 8 6 7 6
Vardas315 Pavardė315 2 10 7 5 1 7 7 3 10 3 3
Vardas316 Pavardė316 4 4 8 10 3 7 3 4 9 4 3
Vardas317 Pavardė317 1 3 8 4 2 3 3 8 4 9 4
Vardas318 Pavardė318 5 4 3 3 6 2 1 1 9 5 5
Vardas319 Pavardė319 6 1 7 5 8 4 4 8 3 2 7
Vardas320 Pavardė320 10 7 6 6 1 7 8 10 6 10 5
Vardas321 Pavardė321 3 10 1 5 7 10 8 1 9 10 4
Vardas322 Pavardė322 7 10 9 10 1 4 3 7 1 2 2
Vardas323 Pavardė323 9 5 7 7 1 9 3 5 1 6 1
Vardas324 Pavardė324 9 5 5 2 9 8 2 1 2 7 5
Vardas325 Pavardė325 7 5 2 9 1 3 2 3 3 3 8
Vardas326 Pavardė326 2 3 1 1 5 1 4 2 1 8 2
Vardas327 Pavardė327 5 7 9 1 5 7 6 7 8 9 1
Vardas328 Pavardė328 9 8 1 9 6 2 10 4 7 4 7
Vardas329 Pavardė329 5 5 7 6 9 9 5 4 10 10 4
Vardas330 Pavardė330 8 4 4 3 1 4 7 7 4 4 7
Vardas331 Pavardė331 4 10 5 6 8 5 5 10 10 6 3
Vardas332 Pavardė332 7 8 6 6 2 4 4 7 8 10 9
Vardas333 Pavardė333 3 7 1 4 6 6 6 8 3 3 10
Vardas334 Pavardė334 7 8 7 5 6 8 9 10 4 7 5
Vardas335 Pavardė335 3 1 5 8 5 5 3 5 8 7 8
Vardas336 Pavardė336 5 3 7 5 6 4 10 1 10 2 5
Vardas337 Pavardė337 4 1 2 4 7 5 4 4 5 9 10
Vardas338 Pavardė338 4 2 5 7 6 4 6 8 8 1 3
Vardas339 Pavardė339 1 2 9 5 9 8 7 4 5 9 4
Vardas340 Pavardė340 8 6 6 10 5 10 10 6 1 9 10
Vardas341 Pavardė341 3 10 9 6 7 7 4 7 8 2 10
Vardas342 Pavardė342 4 9 2 7 3 5 9 2 10 1 9
Vardas343 Pavardė343 8 2 6 6 3 10 2 8 1 10 2
Vardas344 Pavardė344 6 6 2 7 7 7 6 9 2 5 5
Vardas345 Pavardė345 5 1 5 2 9 9 9 4 5 6 1
Vardas346 Pavardė346 7 8 8 6 3 3 6 8 6 7 1
Vardas347 Pavardė347 9 3 7 2 1 5 8 4 6 4 8
Vardas348 Pavardė348 7 5 7 5 8 2 10 9 4 10 5
Vardas349 Pavardė349 3 8 7 10 1 3 8 7 10 1 7
Vardas350 Pavardė350 2 1 6 10 9 5 2 9 2 9 1
Vardas351 Pavardė351 1 1 5 2 2 3 9 2 2 1 7
Vardas352 Pavardė352 10 6 9 3 5 5 4 9 9 5 8
Vardas353 Pavardė353 6 9 5 7 2 2 10 7 8 7 4
Vardas354 Pavardė354 4 1 9 3 6 2 4 5 3 5 8
Vardas355 Pavardė355 8 1 4 2 6 2 6 10 8 3 10
Vardas356 Pavardė356 3 4 5 6 10 2 6 10 1 2 9
Vardas357 Pavardė357 8 10 3 6 1 4 1 8 7 6 1
Vardas358 Pavardė358 9 6 8 6 4 3 6 5 10 8 8
Vardas359 Pavardė359 7 4 2 4 3 7 10 7 4 4 1
Vardas360 Pavardė360 3 5 2 8 9 9 1 4 10 9 4
Vardas361 Pavardė361 10 9 5 4 1 4 8 4 3 6 1
Vardas362 Pavardė362 10 4 6 5 7 10 7 10 8 3 5
Vardas363 Pavardė363 3 9 10 2 9 3 3 10 5 7 5
Vardas364 Pavardė364 7 9 7 9 6 9 4 5 9 2 8
Vardas365 Pavardė365 2 2 5 8 9 8 2 8 4 8 3
Vardas366 Pavardė366 7 5 1 5 3 8 4 1 8 9 2
Vardas367 Pavardė367 6 7 2 2 3 3 3 5 9 8 8
Vardas368 Pavardė368 2 1 7 8 4 7 1 9 7 4 7
Vardas369 Pavardė369 10 7 6 1 4 5 7 5 3 7 1
Vardas370 Pavardė370 1 2 8 8 6 9 7 6 9 5 7
Vardas371 Pavardė371 6 5 9 7 9 4 8 10 3 6 6
Vardas372 Pavardė372 10 10 4 9 3 2 5 1 4 7 9
Vardas373 Pavardė373 3 2 2 6 4 5 3 8 1 1 10
Vardas374 Pavardė374 5 8 3 4 3 3 10 8 3 1 10
Vardas375 Pavardė375 6 8 4 3 3 6 4 1 9 4 4
Vardas376 Pavardė376 6 2 1 5 7 9 7 6 5 7 8
Vardas377 Pavardė377 4 6 7 7 4 1 1 7 6 3 2
Vardas378 Pavardė378 2 4 4 1 1 7 2 6 7 10 4
Vardas379 Pavardė379 8 4 4 7 8 7 1 8 8 5 10
Vardas380 Pavardė380 4 9 4 6 8 6 1 8 5 8 10
Vardas381 Pavardė381 5 10 5 9 6 7 9 7 8 3 9
Vardas382 Pavardė382 3 6 5 10 4 5 8 7 7 7 9
Vardas383 Pavardė383 3 3 1 3 3 4 8 6 3 5 6
Vardas384 Pavardė384 3 2 1 6 6 7 5 10 5 3 5
Vardas385 Pavardė385 10 8 8 7 4 9 5 8 6 9 6
Vardas386 Pavardė386 8 1 7 3 9 8 4 5 4 8 10
Vardas387 Pavardė387 3 2 6 3 7 9 6 5 10 10 4
Vardas388 Pavardė388 9 1 10 9 6 10 9 3 8 7 4
Vardas389 Pavardė389 7 10 5 9 8 8 8 7 9 6 3
Vardas390 Pavardė390 1 6 9 4 2 4 8 1 6 3 8
Vardas391 Pavardė391 7 8 4 4 10 5 4 1 3 8 4
Vardas392 Pavardė392 4 9 6 7 10 7 5 6 5 3 3
Vardas393 Pavardė393 4 10 4 6 2 10 4 9 1 10 6
Vardas394 Pavardė394 2 10 7 2 3 4 2 1 1 10 7
Vardas395 Pavardė395 5 5 8 3 8 8 10 8 1 4 1
Vardas396 Pavardė396 10 1 5 2 9 3 4 3 3 4 9
